id_umkm,nama_umkm,kategori_umkm,lokasi,produk_utama,sumber_data,no_ulasan,ulasan_asli,ulasan_preprocessed,prediksi_sentimen,confidence_positif,confidence_negatif,aspek_kualitas,aspek_packaging,aspek_harga,aspek_pengiriman
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),1,"Bagus-bagus batiknya, seruu bgtt disini kita jadi tau gmn proses membatik sampe jadi kain batik. tempatnya nyaman dan adem bangettt",bagus bagus batik seruu bgtt tau gmn proses batik sampe kain batik tempat nyaman adem bangettt,Positive,0.992,0.008,True,True,False,False
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),2,"Asik banget berkunjung ke batik pringmas welcome banget, kita juga sekalian pelatihan membatik nih dari pringmas menyediakan paket membatik juga lohh",asik kunjung batik pringmas welcome latih batik nih pringmas sedia paket batik lohh,Positive,0.7313,0.2687,False,False,False,False
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),3,Pengalaman membatik dan mengenal lokasi produksi di batik Pringmas sangat seru dan menghibur. Jadi tau ternyata proses membatik sangat panjang,alam batik kenal lokasi produksi batik pringmas seru hibur tau proses batik,Positive,0.2351,0.7649,True,True,False,True
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),4,"kita harus menghargai batik dengan menggunakannya sebaik mungkin,",harga batik guna,Positive,0.8209,0.1791,False,False,True,False
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),5,Belajar membatikk harus banget disiniii.,ajar membatikk disiniii,Positive,0.4252,0.5748,False,False,False,False
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),6,"Tempatnya Sejuk, ibu pendamping ramah ramah. Banyak banget pengalaman yg didapat disini",tempat sejuk damping ramah ramah alam,Positive,0.8257,0.1743,False,True,False,True
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),7,Batiknya bagus...khas banyumas,batik bagus khas banyumas,Positive,0.9946,0.0054,True,False,False,False
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),8,Untuk belanja batik tulis dengan desain alami dengan warna yang kalem,belanja batik tulis desain alami warna kalem,Positive,0.9399,0.0601,True,False,False,False
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),9,bisa datang ke tempat ini. Hampir semua desain menarik.  Harga bervariasi tergantung bahan dan pewarna yang dipakai. Mulai dari rp500.000 sampai dua juta.,desain tarik harga variasi gantung bahan warna pakai rp juta,Positive,0.8464,0.1536,True,False,True,True
R001,"Galery Batik ""PRINGMAS""",Fashion,"Kecamatan Banyumas (Dusun Kalisuren, Desa Papringan)","Kain batik tulis dan cap klasik banyumasan dengan karakteristik warna soga (cokelat) dan wedelan (biru tua), pakaian batik jadi, serta produk suvenir berbahan kain batik.",Google Maps (manual),10,Tempat ini juga menyediakan wisata edukasi. Rombongan pengunjung yang ingin belajar membatik tersedia pendopo di sebelah kanan galeri,sedia wisata edukasi rombong unjung ajar batik sedia pendopo belah kanan galeri,Positive,0.2034,0.7966,False,False,False,False
